,type,row_count,column_count,thread_count,iteration_count,func,time,max_time,min_time
342,cilk,100,100,1,1,1.0,1.489,1.93322655208,1.42440446411
343,cilk,100,100,8,1,1.0,1.453,1.88648635337,1.38996620978
344,cilk,100,100,16,1,1.0,11.249,14.6050137571,10.7609978622
345,cilk,100,100,48,1,1.0,3.181,4.1300158913,3.04300241796
346,sequential,100,100,1,1,2.0,37.963,49.2888378754,36.3160958168
347,pthread,100,100,1,1,2.0,44.459,57.7228470643,42.5302874883
348,pthread,100,100,8,1,2.0,21.135,27.4403916576,20.2181251505
349,pthread,100,100,16,1,2.0,18.791,24.3970853862,17.9758121459
350,pthread,100,100,48,1,2.0,22.465,29.167182332,21.4904273246
351,openmp,100,100,1,1,2.0,118.896,154.367296263,113.738074658
352,cilk,100,100,1,1,2.0,43.216,56.10901187,41.3412110955
353,cilk,100,100,8,1,2.0,31.575,40.9950492826,30.2052189083
354,cilk,100,100,16,1,2.0,18.782,24.3854003365,17.9672025823
355,cilk,100,100,48,1,2.0,9.317,12.0966230931,8.91281154611
356,sequential,100,100,1,5,1.0,7.175,9.31558127007,6.86373541304
357,pthread,100,100,1,5,1.0,12.59,16.3460861589,12.0438228363
358,pthread,100,100,8,5,1.0,3.574,4.64026306052,3.41895336114
359,pthread,100,100,16,5,1.0,4.533,5.88537002052,4.33635019196
360,pthread,100,100,48,5,1.0,8.322,10.8047759344,7.96097646095
361,openmp,100,100,1,5,1.0,171.221,222.302876745,163.793120719
362,cilk,100,100,1,5,1.0,7.596,9.86218192717,7.26647166515
363,cilk,100,100,8,5,1.0,9.806,12.7315107922,9.38059783419
364,cilk,100,100,16,5,1.0,11.35,14.7361459812,10.857616298
365,cilk,100,100,48,5,1.0,12.142,15.7644303528,11.6152578934
366,sequential,100,100,1,5,2.0,192.176,249.509567409,183.839054597
367,pthread,100,100,1,5,2.0,196.82,255.539053042,188.281589407
368,pthread,100,100,8,5,2.0,56.334,73.1406209433,53.8901283287
369,pthread,100,100,16,5,2.0,93.299,121.133716643,89.2515192058
370,pthread,100,100,48,5,2.0,55.453,71.9967844139,53.0473477156
371,openmp,100,100,1,5,2.0,446.876,580.196473261,427.489704033
372,cilk,100,100,1,5,2.0,340.326,441.858468477,325.562037377
373,cilk,100,100,8,5,2.0,142.323,184.783480572,136.148768668
374,cilk,100,100,16,5,2.0,101.772,132.134541745,97.3569450113
375,cilk,100,100,48,5,2.0,44.279,57.4891460707,42.3580962166
376,sequential,500,500,1,1,1.0,35.187,45.6846492195,33.6605237601
377,pthread,500,500,1,1,1.0,41.41,53.7642119016,39.6135586696
378,pthread,500,500,8,1,1.0,23.837,30.9485032383,22.8029074621
379,pthread,500,500,16,1,1.0,32.216,41.8272844873,30.8184111591
380,pthread,500,500,48,1,1.0,32.343,41.9921735217,30.9399016675
381,openmp,500,500,1,1,1.0,198.615,257.869571283,189.998719033
